image,folder,gt_disease,gt_severity,cnn_pred_class,cnn_confidence,fuzzy_disease,fuzzy_vsi_raw,fuzzy_severity,fuzzy_alert,uncertainty,diag_confidence,correct_severity,correct_disease,inference_mode
IMG_20190419_172952.jpg,Healthy,Healthy,Healthy,Healthy,0.7617,Healthy,Healthy (Lành mạnh),Healthy,Normal (Bình thường),Low (Thấp),95.0,True,True,AI_CONFIDENT
IMG_20190419_173344.jpg,Healthy,Healthy,Healthy,Healthy,0.9292,Healthy,Healthy (Lành mạnh),Healthy,Normal (Bình thường),Low (Thấp),95.0,True,True,AI_CONFIDENT
IMG_20190419_173904.jpg,Healthy,Healthy,Healthy,Healthy,0.943,Healthy,Healthy (Lành mạnh),Healthy,Normal (Bình thường),Low (Thấp),95.0,True,True,AI_CONFIDENT
IMG_20190419_174133.jpg,Healthy,Healthy,Healthy,Healthy,0.9332,Healthy,Healthy (Lành mạnh),Healthy,Normal (Bình thường),Low (Thấp),95.0,True,True,AI_CONFIDENT
IMG_20190419_174218.jpg,Healthy,Healthy,Healthy,Healthy,0.9519,Healthy,Healthy (Lành mạnh),Healthy,Normal (Bình thường),Low (Thấp),95.0,True,True,AI_CONFIDENT
IMG_20190419_174308.jpg,Healthy,Healthy,Healthy,Healthy,0.9434,Healthy,Healthy (Lành mạnh),Healthy,Normal (Bình thường),Low (Thấp),95.0,True,True,AI_CONFIDENT
IMG_20190420_193425.jpg,Healthy,Healthy,Healthy,Healthy,0.9241,Healthy,Healthy (Lành mạnh),Healthy,Normal (Bình thường),Low (Thấp),95.0,True,True,AI_CONFIDENT
IMG_20190420_194105.jpg,Healthy,Healthy,Healthy,Healthy,0.9334,Healthy,Healthy (Lành mạnh),Healthy,Normal (Bình thường),Low (Thấp),95.0,True,True,AI_CONFIDENT
IMG_20190420_194338.jpg,Healthy,Healthy,Healthy,Healthy,0.8849,Healthy,Healthy (Lành mạnh),Healthy,Normal (Bình thường),Low (Thấp),95.0,True,True,AI_CONFIDENT
IMG_20190420_200326.jpg,Healthy,Healthy,Healthy,Healthy,0.8121,Healthy,Healthy (Lành mạnh),Healthy,Normal (Bình thường),Low (Thấp),95.0,True,True,AI_CONFIDENT
IMG_20190420_200436.jpg,Healthy,Healthy,Healthy,Healthy,0.7863,Healthy,Healthy (Lành mạnh),Healthy,Normal (Bình thường),Low (Thấp),95.0,True,True,AI_CONFIDENT
IMG_20190420_200508.jpg,Healthy,Healthy,Healthy,Healthy,0.7433,Healthy,Healthy (Lành mạnh),Healthy,Normal (Bình thường),Low (Thấp),95.0,True,True,AI_CONFIDENT
IMG_20190421_195322.jpg,Healthy,Healthy,Healthy,Healthy,0.8682,Healthy,Healthy (Lành mạnh),Healthy,Normal (Bình thường),Low (Thấp),95.0,True,True,AI_CONFIDENT
IMG_20190424_125921.jpg,Healthy,Healthy,Healthy,Healthy,0.9443,Healthy,Healthy (Lành mạnh),Healthy,Normal (Bình thường),Low (Thấp),95.0,True,True,AI_CONFIDENT
IMG_20190424_130047.jpg,Healthy,Healthy,Healthy,Healthy,0.9054,Healthy,Healthy (Lành mạnh),Healthy,Normal (Bình thường),Low (Thấp),95.0,True,True,AI_CONFIDENT
IMG_20190424_130138.jpg,Healthy,Healthy,Healthy,Healthy,0.9368,Healthy,Healthy (Lành mạnh),Healthy,Normal (Bình thường),Low (Thấp),95.0,True,True,AI_CONFIDENT
IMG_20190424_130226.jpg,Healthy,Healthy,Healthy,Healthy,0.9071,Healthy,Healthy (Lành mạnh),Healthy,Normal (Bình thường),Low (Thấp),95.0,True,True,AI_CONFIDENT
IMG_20190424_130350.jpg,Healthy,Healthy,Healthy,Healthy,0.7393,Healthy,Healthy (Lành mạnh),Healthy,Normal (Bình thường),Low (Thấp),95.0,True,True,AI_CONFIDENT
IMG_20190424_130430.jpg,Healthy,Healthy,Healthy,Healthy,0.8455,Healthy,Healthy (Lành mạnh),Healthy,Normal (Bình thường),Low (Thấp),95.0,True,True,AI_CONFIDENT
IMG_20190424_130546.jpg,Healthy,Healthy,Healthy,Healthy,0.8495,Healthy,Healthy (Lành mạnh),Healthy,Normal (Bình thường),Low (Thấp),95.0,True,True,AI_CONFIDENT
BACTERAILBLIGHT4_167.jpg,Mild Bacterial blight,Bacterial blight,Mild,Mild Bacterial blight,0.871,Bacterial blight,Mild (Nhẹ),Mild,Attention (Chú ý),Low (Thấp),95.0,True,True,AI_CONFIDENT
BACTERAILBLIGHT4_183.jpg,Mild Bacterial blight,Bacterial blight,Mild,Mild Bacterial blight,0.9759,Bacterial blight,Mild (Nhẹ),Mild,Attention (Chú ý),Low (Thấp),95.0,True,True,AI_CONFIDENT
BACTERAILBLIGHT4_187.jpg,Mild Bacterial blight,Bacterial blight,Mild,Mild Bacterial blight,0.7867,Bacterial blight,Mild (Nhẹ),Mild,Attention (Chú ý),Low (Thấp),95.0,True,True,AI_CONFIDENT
BACTERAILBLIGHT4_191.jpg,Mild Bacterial blight,Bacterial blight,Mild,Mild Bacterial blight,0.9806,Bacterial blight,Mild (Nhẹ),Mild,Attention (Chú ý),Low (Thấp),95.0,True,True,AI_CONFIDENT
BACTERAILBLIGHT4_192.jpg,Mild Bacterial blight,Bacterial blight,Mild,Mild Bacterial blight,0.7175,Bacterial blight,Mild (Nhẹ),Mild,Attention (Chú ý),Medium (Trung bình),89.9,True,True,AI_CONFIDENT
BACTERAILBLIGHT4_195.jpg,Mild Bacterial blight,Bacterial blight,Mild,Mild Bacterial blight,0.9608,Bacterial blight,Mild (Nhẹ),Mild,Attention (Chú ý),Low (Thấp),95.0,True,True,AI_CONFIDENT
BACTERAILBLIGHT4_197.jpg,Mild Bacterial blight,Bacterial blight,Mild,Mild Bacterial blight,0.4416,Bacterial blight,Moderate (Trung bình),Mild,Attention (Chú ý),High (Cao),25.0,True,True,AI_CONFIDENT
BACTERAILBLIGHT4_223.jpg,Mild Bacterial blight,Bacterial blight,Mild,Mild Bacterial blight,0.9126,Bacterial blight,Mild (Nhẹ),Mild,Attention (Chú ý),Low (Thấp),95.0,True,True,AI_CONFIDENT
BACTERAILBLIGHT4_226.jpg,Mild Bacterial blight,Bacterial blight,Mild,Mild Bacterial blight,0.8601,Bacterial blight,Mild (Nhẹ),Mild,Attention (Chú ý),Low (Thấp),95.0,True,True,AI_CONFIDENT
BACTERAILBLIGHT4_227.jpg,Mild Bacterial blight,Bacterial blight,Mild,Mild Bacterial blight,0.8747,Bacterial blight,Mild (Nhẹ),Mild,Attention (Chú ý),Low (Thấp),95.0,True,True,AI_CONFIDENT
BACTERAILBLIGHT4_232.JPG,Mild Bacterial blight,Bacterial blight,Mild,Mild Bacterial blight,0.5575,Bacterial blight,Moderate (Trung bình),Mild,Attention (Chú ý),High (Cao),25.0,True,True,AI_CONFIDENT
BACTERAILBLIGHT4_245.jpg,Mild Bacterial blight,Bacterial blight,Mild,Mild Bacterial blight,0.9781,Bacterial blight,Mild (Nhẹ),Mild,Attention (Chú ý),Low (Thấp),95.0,True,True,AI_CONFIDENT
BACTERAILBLIGHT4_246.jpg,Mild Bacterial blight,Bacterial blight,Mild,Mild Bacterial blight,0.8397,Bacterial blight,Mild (Nhẹ),Mild,Attention (Chú ý),Low (Thấp),95.0,True,True,AI_CONFIDENT
BACTERAILBLIGHT4_254.jpg,Mild Bacterial blight,Bacterial blight,Mild,Mild Bacterial blight,0.9068,Bacterial blight,Mild (Nhẹ),Mild,Attention (Chú ý),Low (Thấp),95.0,True,True,AI_CONFIDENT
