epoch,phase,train_loss,train_acc,val_loss,val_acc
1,freeze,1.2914230659544759,0.648827952233525,1.0159451748417543,0.7752212389380531
2,freeze,1.0033755124221593,0.7943387881468377,0.9063416267918274,0.8353982300884956
3,freeze,0.9772372608530685,0.8084918177797434,0.9133074853272565,0.8247787610619469
4,freeze,0.9676303099025303,0.8124723573639983,0.8927647976748712,0.8371681415929203
5,freeze,0.9434801197220719,0.8199911543564794,0.8788718388143894,0.8672566371681416
6,finetune,0.9907822700687764,0.8151260504201681,0.9290347123568037,0.8495575221238938
7,finetune,0.799642927585477,0.8881026094648385,0.7053229592542732,0.9203539823008849
8,finetune,0.7173035247090748,0.9111012826183105,0.7411609531503863,0.8938053097345132
9,finetune,0.6846544635026974,0.9212737726669615,0.6682379766903093,0.9203539823008849
10,finetune,0.661812264641952,0.9367536488279522,0.6711700959543211,0.9185840707964602
